Judet,Localitate,Codpostal
Argeș,Burnești,117651
Argeș,Lăzărești (Schitu Golești),117653
Argeș,Slănic,117037
Argeș,Bădești (Pietroșani),117551
Argeș,Corbșori,117286
Argeș,Poienărei,117289
Argeș,Vâlsănești,117531
Argeș,Broșteni (Costești),115201
Argeș,Lăceni,115202
Argeș,Pârvu Roșu,115203
Argeș,Băila,117412
Argeș,Budișteni,117414
Argeș,Glodu (Leordeni),117423
Argeș,Schitu Scoicești,117426
Argeș,Cochinești,117686
Argeș,Cotmeana (Stolnici),117687
Argeș,Fâlfani,117688
Argeș,Bântău,117413
Argeș,Ciolcești,117417
Argeș,Glâmbocata,117421
Argeș,Glâmbocata-Deal,117422
Argeș,Jupânești,117296
Argeș,Priseaca,117302
Argeș,Mârghia de Jos,117441
Argeș,Mârghia de Sus,117442
Argeș,Moșteni-Greci,117136
Argeș,Dealu Viilor (Poiana Lacului),117559
Argeș,Metofu,117566
Argeș,Sămara,117569
Argeș,Boțârcani,115501
Argeș,Crintești,115502
Argeș,Gorănești,115503
Argeș,Țigănești,115504
Argeș,Clucereasa,115401
Argeș,Valea Stânii,117754
Buzău,Anini,127211
Buzău,Bălănești,127212
Buzău,Bercești,127213
Buzău,Cocârceni,127216
Buzău,Fața lui Nan,127218
Buzău,Brăgăreasa,127577
Buzău,Căpățânești,127326
Buzău,Corbu (Cătina),127146
Buzău,Lera,127173
Buzău,Greceanca,127107
Buzău,Joseni,127038
Buzău,Mărunțișu,127438
Buzău,Poienile,127441
Buzău,Potoceni,127327
Buzău,Sârbești,127703
Buzău,Smeești,127704
Buzău,Sărulești,127545
Buzău,Sările-Cătun,127549
Buzău,Valea Largă-Sărulești,127551
Buzău,Gornet,127434
Buzău,Valea Sibiciului,127446
Buzău,Dăscălești,127496
Buzău,Lunca (Puiești),127497
Buzău,Măcrina,127498
Buzău,Plopi,127501
Dâmbovița,Pătroaia-Deal,137174
Dâmbovița,Voia,137179
Dâmbovița,Adânca,137241
Dâmbovița,Izvoarele,137527
Dâmbovița,Lunca (Voinești),137528
Dâmbovița,Brâncoveanu,137346
Dâmbovița,Miulești,137348
Dâmbovița,Colacu,137387
Dâmbovița,Săbiești,137392
Dâmbovița,Ghimpați,137389
Dâmbovița,Gulia,137437
Dâmbovița,Pitaru,137371
Dâmbovița,Românești,137373
Dâmbovița,Oreasca,137281
Dâmbovița,Serdanu,137282
Dâmbovița,Speriețeni,137246
Dâmbovița,Călugăreni (Conțești),137128
Dâmbovița,Mereni (Conțești),137133
Dâmbovița,Bălănești,137386
Dâmbovița,Stănești,137393
Dâmbovița,Crețu,137091
Dâmbovița,Urziceanca,137093
Dâmbovița,Vlăsceni,137374
Dâmbovița,Săvești,137052
Prahova,Bobolia,107426
Prahova,Călinești,107257
Prahova,Cătina,107258
Prahova,Novăcești,107259
Prahova,Cocorăștii Caplii,107351
Prahova,Minieri,107247
Prahova,Parepa-Rușani,107172
Prahova,Malu Roșu,107127
Prahova,Rotari,107128
Prahova,Bărăitaru,107211
Prahova,Ciupelnița,107221
