"Judet","Localitate","Tip artera","Denumire artera","Numar/Bloc","Codpostal"
"Giurgiu","Giurgiu","Șoseaua","București","bl. 54/2D, 61/2D-62/2D","080303"
"Giurgiu","Giurgiu","Șoseaua","București","nr. 105-159","080303"
"Giurgiu","Giurgiu","Șoseaua","București","bl. 65/1D, 66/1D-67/1D, 68/1D-71/1D","080304"
"Giurgiu","Giurgiu","Șoseaua","București","nr. 161-T","080304"
"Giurgiu","Giurgiu","Șoseaua","București","nr. 136-T","080309"
"Giurgiu","Giurgiu","Strada","Decebal","bl. 56/2D, 58/2D, 60/2D, 64/2D","080552"
"Giurgiu","Giurgiu","Strada","Decebal","nr. 3-T","080552"
"Giurgiu","Giurgiu","Strada","Decebal","bl. 55/2D, 57/2D, 59/2D, 63/2D","080554"
"Giurgiu","Giurgiu","Strada","Decebal","nr. 6-T","080554"
"Giurgiu","Giurgiu","Strada","Ierusalim 3000","","080555"
"Giurgiu","Giurgiu","Strada","Gloriei","","080556"
"Giurgiu","Giurgiu","Strada","Stejarului","","080557"
"Giurgiu","Giurgiu","Intrarea","Iederei","","080852"
"Giurgiu","Giurgiu","Intrarea","Prieteniei","","080861"
"Giurgiu","Giurgiu","Strada","Tineretului","bl. 21/613, 7/420-16/420, G240CF, H240CF, I240CF, J240CF, K240CF","080273"
"Giurgiu","Giurgiu","Strada","Tineretului","bl. L240CF, M240CF, N240CF","080273"
"Giurgiu","Giurgiu","Strada","Tineretului","nr. 43-79","080273"
"Giurgiu","Giurgiu","Șoseaua","București","bl. B1/1S-B3/1S","080308"
"Giurgiu","Giurgiu","Șoseaua","București","nr. 110-134","080308"
"Giurgiu","Giurgiu","Strada","Tineretului","bl. B200CF-D200CF, L3-L5, P1-P8, E1-E3","080275"
"Giurgiu","Giurgiu","Strada","Tineretului","nr. 111-145","080275"
"Giurgiu","Giurgiu","Strada","Tineretului","bl. 75 Garsoniere, 60 Navrom","080276"
"Giurgiu","Giurgiu","Strada","Tineretului","nr. 147-T","080276"
"Giurgiu","Giurgiu","Bulevardul","Nicolescu Miron, acad.","bl. T1, T2, T4","080232"
"Giurgiu","Giurgiu","Bulevardul","Nicolescu Miron, acad.","nr. 1-43","080232"
"Giurgiu","Giurgiu","Bulevardul","Nicolescu Miron, acad.","bl. 80 Chesonieri","080233"
"Giurgiu","Giurgiu","Bulevardul","Nicolescu Miron, acad.","nr. 45-T","080233"
"Giurgiu","Giurgiu","Bulevardul","Nicolescu Miron, acad.","bl. FE3","080234"
"Giurgiu","Giurgiu","Bulevardul","Nicolescu Miron, acad.","nr. 2-50","080234"
"Giurgiu","Giurgiu","Bulevardul","Nicolescu Miron, acad.","nr. 52-T","080235"
"Giurgiu","Giurgiu","Strada","Vaporului","bl. 75 Garsoniere, 80 Garsoniere, T5, Cămin Negru","080241"
"Giurgiu","Giurgiu","Strada","Vaporului","nr. 1-9","080241"
"Giurgiu","Giurgiu","Strada","Vaporului","bl. T11","080242"
"Giurgiu","Giurgiu","Strada","Vaporului","nr. 11-T","080242"
"Giurgiu","Giurgiu","Strada","Vaporului","bl. T3, T6-T9","080243"
"Giurgiu","Giurgiu","Strada","Vaporului","nr. 2-10","080243"
"Giurgiu","Giurgiu","Strada","Vaporului","bl. T10","080244"
"Giurgiu","Giurgiu","Strada","Vaporului","nr. 12-T","080244"
"Giurgiu","Giurgiu","Strada","Toporași","","080248"
"Giurgiu","Giurgiu","Ulița","Toporași","","080249"
"Giurgiu","Giurgiu","Strada","Lăcrămioarelor","","080251"
"Giurgiu","Giurgiu","Strada","Narciselor","","080261"
"Giurgiu","Giurgiu","Strada","Viitorului","","080262"
"Giurgiu","Giurgiu","Strada","Trandafirilor","","080263"
"Giurgiu","Giurgiu","Strada","Daliei","","080266"
"Giurgiu","Giurgiu","Strada","Tineretului","bl. 104-109, 205, 214, ANCON","080278"
"Giurgiu","Giurgiu","Strada","Tineretului","nr. 34-66","080278"
"Giurgiu","Giurgiu","Bulevardul","1 Decembrie 1918","bl. 1 Vechi - 6 Vechi","080192"
"Giurgiu","Giurgiu","Strada","1 Decembrie 1918","nr. 77-T","080192"
"Giurgiu","Giurgiu","Bulevardul","1 Decembrie 1918","bl. 7 Vechi, 12 Vechi, 16 Vechi-17 Vechi, C16-C18, 311-312","080195"
"Giurgiu","Giurgiu","Strada","1 Decembrie 1918","nr. 58-66","080195"
"Giurgiu","Giurgiu","Bulevardul","1 Decembrie 1918","bl. 13 Vechi-14 Vechi, 309-310","080196"
"Giurgiu","Giurgiu","Bulevardul","1 Decembrie 1918","bl. 2 Vama-3 Vama, 3AVama-3BVama, 4 Vama, 60 Vama","080196"
"Giurgiu","Giurgiu","Strada","1 Decembrie 1918","nr. 68-T","080196"
"Giurgiu","Giurgiu","Strada","Tineretului","bl. 16 Vechi, 19 Vechi-25Vechi, IPB, 14/180-15/180","080279"
"Giurgiu","Giurgiu","Strada","Tineretului","nr. 68-T","080279"
"Giurgiu","Giurgiu","Șoseaua","Prieteniei","","080291"
"Giurgiu","Giurgiu","Intrarea","Podului","","080292"
"Giurgiu","Giurgiu","Intrarea","Șoimului","","080293"
"Giurgiu","Giurgiu","Strada","Alianței","","080294"
"Giurgiu","Giurgiu","Ulița","Șoimului","","080295"
"Giurgiu","Giurgiu","Fundătura","Șoimului","","080296"
"Giurgiu","Giurgiu","Strada","Șoimului","","080297"
"Giurgiu","Giurgiu","Strada","Alunișului","","080298"
"Giurgiu","Giurgiu","Intrarea","Măceșului","","080299"
