descr,lat,lon,cod
În această casă a trăit marele actor si fiul său.,44.446130000000000,26.108908000000000,B-II-m-B-18550
"Casa e construită în anul 1905, în stilul unei cule oltenești.",44.484291000000000,26.075303000000000,B-II-m-A-19207
"Clădirea a fost construită în anul 1913 după planul lui Fr. Storck, de către arh. A.C. Clavel.",44.450912000000000,26.094471000000000,B-II-m-B-18332
"Muzeul este organizat în casa, monument istoric, în care a locuit pictorul între 1855 - 1894, în urma donației făcute de urmașii săi. Fațada a fost decorată în stil clasic.",44.433702000000000,26.095291000000000,B-II-m-B-18607
"Clădirea muzeului, situată în Parcul Carol, a făcut parte din complexul expozițional ridicat la începutul secolului. Grav avariată la cutremurele din 1977 și 1986, a fost supusă unor operații de consolidare și reparare ce continuă de 10 ani. O parte a cl",44.417031000000000,26.096526000000000,B-II-m-B-19461
"Organizată în casa în care a locuit poetul, începând cu 1930, aceasta este cunoscută sub numele de ""Mărțișor"". Situată pe dealul Piscului, domină partea de sud-est a orașului, unde se află mormintele soților Arghezi. Conform dorinței testamentare a poetu",44.397172000000000,26.117717000000000,B-II-m-B-19174
"Clădirea este monument arhitectonic și istoric, castel construit în 1838, a aparținut familiei nobiliare Bohus. În această clădire s-a semnat în august 1849 capitularea armatei revoluționare maghiare în fața armatelor imperiale austriece și rusești.",,,AR-II-m-A-00651
"Palatul Suțu este monument istoric, datând din 1834, operă a arhitecților Johann Veit și Conrad Schwink, care au ridicat un palat în stil neogotic, cu patru turnulețe poligonale și cupolă, pe ruinele unor construcții mai vechi. Holul central a fost finis",44.434816000000000,26.102227000000000,B-II-m-A-18221
"Clădirea muzeului este monument istoric și de arhitectură - Castelul Misici, construit în secolul al XIX-lea și a aparținut omului politic Sever Bocu.",46.092263000000000,21.695000000000000,AR-II-m-B-00621
"Muzeul este găzduit în clădirea fostei Prefecturi a județului, edificiu neoclasic impozant datând din 1898 - 1899, situat în centrul orașului.",44.855465000000000,24.870948000000000,AG-II-m-A-13401.01
"Conacul Goleștilor, construit în 1640, este monument istoric, restaurat în 1942 - 1943.",,,AG-II-m-A-13697.01
Clădirea este monument de arhitectură.,44.454533000000000,26.083949000000000,B-II-m-A-18985
"Muzeul se află în casa memorială construită în 1869, ca locuință și atelier. Ornamentația exterioară a fost realizată de artist în stil neoclasic italian",44.440246000000000,26.098180000000000,B-II-m-A-19621
"Clădirea muzeului este monument istoric, a fost construită la mijlocul secolului al XIX-lea și a avut destinații diverse, până în 1974, când a fost destinată muzeului de artă.",47.462586000000000,26.296684000000000,SV-II-m-B-05536
"Clădirea muzeului a fost construită în 1908 ca sediu al Tribunalului județului Baia. Restaurată în 1982, cu destinația de muzeu de științele naturii și acvarii, devine sediul Muzeului de Ştiințele Naturii.",47.461148000000000,26.297170000000000,SV-II-m-B-05536
"Mănăstirea este monument istoric, construit între 1690 - 1697, ctitorie a lui Constantin Brâncoveanu (arhitecți: Pârvu Cantacuzino și Cernica Ştirbei). Mănăstirea a fost restaurată între 1960 - 1978, când au fost organizate, ca muzeu, camerele locuinței",45.169865000000000,24.007096000000000,VL-II-a-A-09898
Cula Duca (1827) și Cula Greceanu (secolul al XVIII-lea) sunt monumente de arhitectură și reprezintă construcții tipice ale arhitecturii civile din Oltenia. Casa I.G. Duca datează din secolul al XX-lea.,45.118693000000000,24.003216000000000,VL-I-s-B-09551
"Monument istoric, Palatul Ghica-Comănești a fost construit în anul 1880, în stilul baroc târziu, de meșteri italieni. Între 1945 - 1988 aici a funcționat „Casa pionierilor”.",46.420321000000000,26.446649000000000,BC-II-a-A-00816
Muzeul este adăpostit în fostul conac al boierului Toader Buhuș.,46.718935000000000,26.697973000000000,BC-II-a-B-00801
Casa a fost construită la începutul secolului al XX-lea.,46.572893000000000,26.916090000000000,BC-IV-m-B-00931
"Clădirea muzeului a fost construită în anul 1848 cu denumirea de arhondărie și servea pentru primirea oaspeților. În decursul vremii până când s-a organizat ca muzeu această clădire a avut mai multe destinații: școală de surori medicale, adăpost pentru o",44.729032000000000,26.084255000000000,IF-II-a-B-15271
"Muzeul este adăpostit în casa părintească, construită în jurul anului 1800, de către părinții lui Avram Iancu: Alexandru și Maria Iancu. Este o casă tipic moțească cu acoperiș țuguiat și terminat cu patru arcade semicirculare. Anexele au fost construite",46.358130000000000,22.858643000000000,AB-II-a-A-00238
"Clădirea face parte din complexul arhitectural medieval numit Cetatea Aiudului, situat în zona centrală a vetrei orașului. A fost construită pe latura nordică a zidului de incintă, în stil gotic transilvănean, fiind alcătuită din Turnul Porții, datând di",46.310163000000000,23.717435000000000,AB-II-m-A-00172.01
"Colecția este expusă în clădirea Primăriei, construită intre anii 1940 - 1944.",46.331214000000000,27.005275000000000,BC-II-m-B-00888
"Sediul fostei Școli generale nr. 2, monument istoric.",46.568895000000000,26.913405000000000,BC-II-m-B-00779
"Clădirea este monument istoric, fostă casă a memorandistului Vasile Ignat și a martirului Ioan Ciordaș, a fost construit la sfârșitul secolului al XIX-lea în stil eclectic cu dominantă barocă.",46.666942000000000,22.347759000000000,BH-II-m-B-01113
"Muzeul este amenajat într-un turn medieval compus din parter și patru etaje, având o înălțime de 22 m. Turnul Ciunt, monument istoric, construit în 1606 - 1630, a folosit ca turn de observare. În 1889 a fost restaurat din inițiativa și prin contribuția b",46.802366000000000,21.663318000000000,BH-II-m-B-00997
"Clădirea muzeului a fost construită după 1800, de tatăl poetului, preotul Sebastian Coșbuc și folosită ca locuință. Este monument istoric și a fost restaurată în 1954.",47.364730000000000,24.390750000000000,BV-IV-M-A-01743
Clădirea a fost construită în anul 1866 și a devinit monument memorial după 1955.,47.192235000000000,24.011194000000000,BN-IV-m-B-01750
