* Bună ziua               Kalimera
* Bună dimineaţa          Kalo proi
* Buna seara              Kalispera
* Noapte bună             Kalinihta
* Salut                   Ia sas
* Vă rog                  Parakalo 
* Mulţumesc               Efharisto 
* Da                      Ne 
* Nu                      Ohi
* Mă scuzaţi              Me sinhorite
* La revedere             Adio 

* 1                       Enas 
* 2                       Dhio 
* 3                       Tris
* 4                       Teseris
* 5                       Pende
* 6                       Exi
* 7                       Efta 
* 8                       Ohto 
* 9                       Enea
* 10                      Dheka
* 100                     Ekato
* 1000                    Hilia
* Ianuarie                Ianuarios 
* Februarie               Fevruarios
* Martie                  Martios
* Aprilie                 Aprilios    
* Mai                     Maios
* Iunie                   Iunios
* Iulie                   Iulios
* August                  Avgustos
* Septembrie              Septemvrios
* Octombrie               Oktovrios
* Noiembrie               Noemvrios
* Decembrie               Dhekemvrios
* Negru                   Mavro
* Alb                     Aspro 
* Roşu                    Kokino 
* Albastru                Galazio 
* Galben                  Kitrino
* Verde                   Prasino
