Denumire,Localitate,Judet,Adresa,Infiintare,Descriere_lunga,Descriere_scurta,Descriere_cladire,Istoric,URL,Director,Profil,SIRUTA,Latitudine,Longitudine,Categorie,LMI,ID
Muzeul Viei și Vinului,Miniș,Arad,Stațiunea de Cercetări Viticole,1988,"Expoziția cuprinde documente, fotografii, obiecte și instalații privind istoricul cultivării viței de vie și a prelucrării vinului în Podgoria Aradului. Clădirea acestui muzeu este în proces de restituire.","Documente, fotografii, obiecte și instalații privind istoricul cultivării viței de vie și a prelucrării vinului în Podgoria Aradului.  The exhibition includes documents, photographs, artefacts and installations used in wine growing and wine processing fr",,,http://www.museumarad.ro,Peter Hügel,"Arheologie, Istorie, Etnografie",10907,,,Muzeu județean,,72
"Colecția de Istorie a Teatrului, Muzicii și Cinematografului „Iosif Sârbuț""",Arad,Arad,Str. Horia nr. 10,1960,"Baza colecției o constituie cele 25.000 de piese adunate de Iosif Sârbuț și donate de către acesta muzeului în 1976. Personalitate bine cunoscută în cercurile culturale arădene, Iosif Sârbuț s-a născut în 1912, într-o familie de români de lângă localitatea maghiară Gyula. Nu a avut studii de specialitate, fiind angajat la Teatrul din Arad, încă din anul 1930, în calitate de mașinist de scenă, funcție pe care a deținut-o până la pensionare. Pasionat de istoria culturală arădeană, a colecționat vreme de decenii, mii de materiale muzeale din toate domeniile culturii, dar cu predilecție cele de natură teatrală. La un moment dat conducerea Teatrului de Stat din Arad i-a oferit patru camere în incinta instituției, în care Iosif Sârbuț a organizat și condus un Muzeu al Teatrului din Arad. În 1976, aceeași conducere a desființat compartimentul muzeal ceea ce l-a convins pe colecționar să doneze colecția Muzeului Județean Arad.În 1986, colecția a fost mutată în depozitul de lângă sala Clio. În perioada 1990 - 2000, au fost organizate opt expoziții temporare cu piese din colecție. Colecția se află într-un depozit amenajat în incinta clădirii de pe str. Gh. Popa de Teiuș nr. 2 - 4. Construită în 1909 ca sediu administrativ, ea a fost transformată, în 1984, în sediul secției de artă a Complexului Muzeal Arad, adăpostind, în același timp, biblioteca județeană și sala de expoziții temporare a muzeului (sala Clio). Atât sala Clio, cât și depozitul (situat lângă aceasta) au fost renovate radical în 2004. Colecția cuprinde peste 25.000 piese datând din secolele XIX - XX: afișe originale în diverse formate, plachete-invitații, cataloage, cărți de teatru, reviste teatrale, muzicale și cinematografice din Arad, fotografii cu artiști ai teatrului și din spectacole, partituri muzicale manuscrise sau tipărite, diverse obiecte de recuzită teatrală, instrumente muzicale, tablouri-portrete ale unor personalități culturale arădene, costume din spectacole, aparate pre-cinematografice și cinematografice etc. Dintre acestea sunt de menționat: statutul, regulamentul de funcționare și programa de studiu a Conservatorium-lui din Arad (1833 - a șasea instituție de acest tip din Europa); afișe ale unor spectacole jucate pe scena Teatrului Vechi din Arad (1817 - primul teatru de pe actualul teritoriu al României) în perioada 1833 - 1871, dintre care se remarcă cele ale unor trupe austriece, maghiare și românești (M. Pascaly - 1868, M. Millo - 1870/71); placheta-afiș a filmului Războiul de Independență (1913 - realizat de Grigore Brezeanu), film proiectat la cinematograful Urania, amenajat în 1907 în clădirea Teatrului Vechi; filme pe celuloid realizate la Arad în 1913 (Nunta pe Strada Mare; Răzbunarea lui Napoleon); pianul la care a concertat Franz Liszt la Arad (1846) și donat de către compozitor Conservatorium-ului (pianul este expus în foaierul Palatului Cultural).","Colecția cuprinde peste 25.000 piese datând din sec. XIX ? XX: afișe originale în diverse formate, plachete-invitații, cataloage, cărți de teatru, reviste teatrale, muzicale și cinematografice din Arad, fotografii cu artiști ai teatrului și din spectacol","Colecția se află într-un depozit amenajat în incinta clădirii de pe str. Gh. Popa de Teiuș nr. 2 ? 4. Construită în 1909 ca sediu administrativ, ea a fost transformată, în 1984, în sediul secției de artă a Complexului Muzeal Arad, adăpostind, în același","Baza colecției o constituie cele 21.650 de piese adunate de Iosif Sârbuț și donate de către acesta muzeului în 1976. Personalitate bine cunoscută în cercurile culturale arădene, Iosif Sârbuț s-a născut în 1912, într-o familie de romani de lîngă localitat",http://www.museumarad.ro,Peter Hügel,Istoria teatrului,9271,46.176407,21.315865,Muzeu județean,,74
Colecția de Carte Veche și Icoane „Ștefan Crișan”,Lipova,Arad,Str. B. P. Hasdeu nr. 22,,"Colecția prezintă exemplare de carte veche românească și străină, obiecte de cult, icoane pe lemn și sticlă din secolele XVIII - XIX.","Carte veche românească și străină, obiecte de cult, icoane pe lemn și sticlă din sec. XVIII - XIX.  Romanian and foreign old books, religious objects, wooden and glass icons from the 18th - 19th century are on display.",,,http://www.museumarad.ro,Peter Hügel,"Artă religioasă, Carte veche",9583,46.087697,21.692434,Muzeu județean,,64
Muzeul Comunei Săvârșin,Săvârșin,Arad,în cadrul Căminului Cultural,1988,"Colecție de etnografie și de artă populară: costume, țesături, icoane, ceramică.","Sunt expuse piese de grafică și pictură semnate de Eugen Popa și Gina Hagiu, grafică universală, artă decorativă din Extremul Orient, obiecte etnografice de pe Valea Mureșului de Jos.  The exhibits include graphics and paintings by Eugen Popa and Gina Ha",,,http://www.museumarad.ro,Peter Hügel,Etnografie locală,11851,,,Muzeu județean,,752
Muzeul Memorial „Ioan Slavici și Emil Monția”,Șiria,Arad,Str. Infanteriei nr. 185,1960,"Clădirea care adăpostește muzeul este un castel construit în stil baroc târziu în 1838, care a aparținut familiei nobiliare Bohus, monument arhitectonic și istoric. În această clădire s-a semnat, în august 1849, capitularea armatei revoluționare maghiare în fața armatelor imperiale austriece și rusești. Expoziția permanentă este dedicată scriitorului Ioan Slavici (1848 - 1925), născut în Șiria, și compozitorului Emil Monția (1887 - 1965), născut la Șicula, dar care și-a petrecut cea mai mare parte a vieții sale în comuna Șiria, trăind în casa din strada Spiru Haret nr. 130.  Dintre exponate pot fi amintite: fotocopia extrasului de naștere al scriitorului Ioan Slavici, o notiță a sa, scrisă de mână la vârsta de 10 ani, fotocopii după actele de școală, diplomele obținute la absolvirea cursurilor liceale, la Arad și Timișoara, fotografii din perioada studiilor la Viena. Activitatea lui Slavici la revistele Tribuna din Sibiu (din 1893) și Vatra (din 1894) este bogat ilustrată. De asemenea, sunt prezentate manualele sale școlare: Istoria universală, Evul mediu și Gramatica limbii române, etimologia, precum și unele numere din Revista copiilor și a tineretului, în care publica povestiri didactice. Sunt expuse, de asemenea, documente despre istoricul comunei Șiria, manuscrise, fotografii, ziare, reviste, biblioteca cu ediții valoroase ale operei lui Ioan Slavici. În expoziția dedicată lui Emil Monția se pot vedea mobilierul camerei lui de lucru, pianul și violoncelul compozitorului, ca și culegeri de folclor și diferite ediții ale principalelor sale lucrări: Fata de la Cozia, Cercel, Moștenitorul, La fântâna cu găleată și altele.","Expoziția permanentă din acest castel în stil baroc târziu este dedicată scriitorului Ioan Slavici (1848 - 1925), născut în Șiria, și compozitorului Emil Monția (1887 - 1965), născut la Șicula, dar care și-a petrecut cea mai mare parte a vieții sale în c","Clădirea este monument arhitectonic și istoric, castel construit în 1838, a aparținut familiei nobiliare Bohus. În această clădire s-a semnat în august 1849 capitularea armatei revoluționare maghiare în fața armatelor imperiale austriece și rusești.",Muzeul cuprinde două expoziții memoriale: Ioan Slavici și Emil Monția.,http://www.museumarad.ro,Peter Hügel,Memoriale - Istoria literaturii,12377,,,Muzeu județean,AR-II-m-A-00651,66
Expoziția Memorială „Adam Müller-Guttenbrunn”,Zăbrani,Arad,,1970,"Expoziția prezintă documente, fotografii, mobilier, obiecte personale și numeroase exemplare ale lucrărilor lui Adam Müller-Guttenbrunn (1852 - 1923), important eseist, critic și om de teatru german, născut în comuna Zăbrani.","Dedicată lui Adam Müller-Guttenbrunn (1852 - 1923), important eseist, critic și om de teatru german, născut în comuna Zăbrani.  Dedicated to Adam Müller-Guttenbrunn (1852 - 1923), important German writer and theatre director, born in Zăbrani.",,,http://www.museumarad.ro,Peter Hügel,Memoriale - Istoria literaturii,12787,46.070809,21.553839,Muzeu județean,,67
Muzeul de Artă din Arad,Arad,Arad,"Str. Gheorghe Popa de Teiuș nr. 2 - 4, etaj II",1984,"Clădirea muzeului este monument de arhitectură (secolul al XX-lea) și cuprinde artă românească (lucrări de plastică românească din secolele XIX - XX, picturi de Theodor Aman, Nicolae Grigorescu, Corneliu Baba, Nicolae Tonitza, sculpturi de Dimitrie Paciurea, Romulus Ladea), artă universală din școlile italiană, franceză, flamando-olandeză, maghiară (pictură, tapiserie, porțelan, mobilier). A luat naștere pe baza primei expoziții arădene de pictură, organizată în 1913. Aceasta formează fondul actualei colecții de pictură europeană.","Artă românească (lucrări de plastică românească din sec. XIX - XX, picturi de Theodor Aman, Nicolae Grigorescu, Corneliu Baba, Nicolae Tonitza, sculpturi de Dimitrie Paciurea, Romulus Ladea), artă universală din școlile italiană, franceză, flamando-oland",Clădirea muzeului este monument de arhitectură (secolul al XX-lea).,"A luat naștere pe baza primei expoziții de pictură românească organizată în 1913, ale cărei lucrări formează fondul actualei colecții de pictură europeană. Actuala structură o are începând cu anul 1984.",http://www.museumarad.ro,Peter Hügel,"Artă plastică românească, Artă plastică universală",9271,46.177054,21.315867,Muzeu județean,,68
Muzeul Orășenesc Lipova,Lipova,Arad,Str. Nicolae Bălcescu nr. 21,1952,"Muzeul este adăpostit într-un valoros castel din secolul al XIX-lea, monument istoric și de arhitectură - Castelul Misici - și a aparținut omului politic Sever Bocu. Este expusă colecția de artă Eleonora Costescu și Vasile Varga, alcătuită din pictură românească modernă, pictură din școlile italiană, flamandă, engleză, franceză, maghiară, piese de artă decorativă (argintărie, porțelan, sticlă, mobilier).","Este expusă colecția de artă Eleonora Costescu și Vasile Varga, alcătuită din pictură românească modernă, pictură din școlile italiană, flamandă, engleză, franceză, maghiară, piese de artă decorativă (argintărie, porțelan, sticlă, mobilier).  The „Eleono","Clădirea muzeului este monument istoric și de arhitectură - Castelul Misici, construit în secolul al XIX-lea și a aparținut omului politic Sever Bocu.",Muzeul este adăpostit într-un valoros castel din secolul al XIX- lea.,http://www.museumarad.ro,Peter Hügel,"Artă decorativă, Artă plastică românească, Artă plastică universală",9583,46.092263,21.695,Muzeu județean,AR-II-m-B-00621,69
Casa Memorială „Dinu Lipatti”,Ciolcești,Argeș,,1985,"Colecția de importanță memorială prezintă obiecte care ilustrează viața și activitatea marelui pianist și compozitor român Dinu Lipatti (1917 - 1950). Muzeul prezintă numeroase obiecte ce au aparținut lui Dinu Lipatti (pianul Bechstein, diplome, partituri) și fratelui său, diplomatul și omul de cultură Valentin Lipatti, familiei, cunoștințelor din țară și străinătate, fotografii de familie: Dinu Lipatti la diferite vârste, alături de profesorii săi (George Enescu, Florica Muzicescu, Mihail Jora). Multe dintre fotografii sunt executate de Dinu Lipatti, deoarece acesta era un pasionat și talentat fotograf.",Colecția de importanță memorială prezintă obiecte care ilustrează viața și activitatea marelui pianist și compozitor român Dinu Lipatti (1917 - 1950).  The memorial collection presents objects illustrating the life and activity of the great Romanian pian,,,,Spiridon Cristocea,Memoriale - Istoria muzicii,16766,44.802448,25.197311,Muzeu județean,AG-IV-m-B-13936,78
Casa Memorială „Liviu Rebreanu”,Ștefănești,Argeș,,1968,"Expoziția este organizată în casa în care a locuit și creat marele prozator Liviu Rebreanu (1885 - 1944), începând din 1930, și expune mobilier, biblioteca autorului, manuscrise și fotografii, toate amintind de romanele scriitorului: Răscoala, Amândoi, precum și de programul revistei ""România literară"". Imobilul este în curs de retrocedare (2006). În hol, un portret al lui Rebreanu este încadrat de poze de familie și un panou cu date legate de viața autorului. Într-o încăpere sunt prezentate ediții princeps ale operelor autorului.  În fața muzeului poate fi admirat statuia de bronz înfățișându-l pe autor.  În clădirea nouă alăturată sunt expuse fotografii, diverse ediții de romane și reviste.","Expoziția este organizată în casa în care a locuit și creat marele prozator Liviu Rebreanu (1885 - 1944), începând din 1930, și expune mobilier, biblioteca autorului, manuscrise și fotografii.  The exhibition is organized in the house where the great nov",,"Organizat în casa în care a locuit și creat marele prozator, începând cu 1930.",,Spiridon Cristocea,Memoriale - Istoria literaturii,13409,,,Muzeu județean,,79
