ID,SIRUTA,codLMI,judetul,UAT,localitatea,tip,cult,gen,denumirea,datarea,utilizarea curentă,parohia,protopopiatul,(arhi)episcopia,mitropolia,patriarhia,descrierea,note,starea de conservare,longitudine,latitudine
764,26706,BH-I-m-B-00946.02,Bihor,Orașul Aleșd,Aleșd,biserică,ortodox,F,Amplasament de biserică romanică,sec. XIII-XIV,teren arabil,,,,,,,,,,
4185,124974,NT-II-a-A-10593,Neamț,Comuna Viișoara,Bistrița,mănăstire,ortodox,F,"Ansamblul Mănăstirii ""Adormirea Maicii Domnului"" Bistrița",sec. XIV-XIX,cult,Parohia Mănăstirii Bistrița,Protopopiatul Piatra Neamț,Arhiepiscopia Iașilor,Mitropolia Moldovei și Bucovinei,Patriarhia Română,"Ctitorie princiară și necropolă a lui Alexandru cel Bun de la începutul secolului XV, pe locul unui schit de lemn înălțat ante 1400 de Petru Mușat. În anul 1498, Ștefan cel Mare a zidit pe latura de nord turnul clopotniță cu paraclis, lângă care a fost ridicată de către Petru Rareș o casă domnească. În anul 1554, Alexandru Lăpușneanu reconstruiește integral biserica ""Adormirii Maicii Domnului"". Monumentul reprezintă unul din cele mai importante ansambluri monastice moldovenești. Din cele 9 clădiri existente, 6 sunt clădiri vechi iar 3 sunt noi. Anul ultimei intervenții este 1986, mănăstirea având 60 de monahi.",,bună,,
2683,15992,AG-II-a-A-13622,Argeș,Comuna Cotmeana,Cotmeana,mănăstire,ortodox,F,"Ansamblul Mănăstirii ""Buna Vestire"" Cotmeana",sec. XIV-XVII,cult,Mănăstirea Cotmeana,Protopopiatul Pitești,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,"Mănăstirea Cotmeana a fost clădită de voievodul Radu I si fii săi Dan I si Mircea cel Mare, între 1377-1389, înfrumusețată în 1711, reparată de egumenul Sofronie de la Cozia, cu ""osteneala"" lui Iosif, egumenul mănăstirii, care a zidit si clopotnița de la poarta ei, în 1875, restaurată 1922, 1924 si 1959, cât și în cursul anului 1972. Primul document în care întâlnim numele mănăstirii Cotmeana este hrisovul lui Mircea cel Bătrân din 1388.",,foarte bună,,
18366,111042,MH-II-m-A-10340,Mehedinți,Comuna Butoiești,Gura Motrului,mănăstire,ortodox,F,"Ansamblul Mănăstirii ""Cuvioasa Paraschiva"" Gura Motrului",sec. XVI; ref. 1653 și modif. 1841 - 1852,lăcaș de cult,Parohia Mănăstirii Gura Motrului,Protopopiatul Strehaia,Episcopia Severinului și Strehaiei,Mitropolia Olteniei,Patriarhia Română,"Mănăstirea Gura Motrului cu hramul “Cuvioasa Paraschiva”, a fost ctitoria marelui logofăt Harvat, din vremea lui Neagoe Basarab, la 1519 (pe locul unui schit de lemn de secol XIV al lui Nicodim de la Tismana). Biserica actuala a fost construita în 1653, în stil moldovenesc, de marele vornic Preda Brâncoveanu. Biserica are planul în formă de treflă, pridvor, naos cu o turlă, pronaos cu două turle mai mici și egale. Pictura datează din anii 1702-1705, din vremea și pe cheltuiala domnului Constantin Brâncoveanu, așa cum reiese din pisania din pronaosul bisericii ""Acista Sfânta si Dumnezaiasca Manastire de la Motru al caria hramul sa praznuiasce probedeba Paraschevei : den temelia ei iaste zidita de Jupân Preda Brancoveanul : Vel:vornic : la anul de la zidirea lumii : 7161 [1653]: carea de la aceea vreame pana acum au statut nezugravita: iara dupa aceia: luminatul si înaltatul Io Constantin Brancoveanul Basarab Voevod: nepotul lui de fecior: întral saptesprazeacelea an al Domniei Sale o au zugravit si o au si mai înfrumusetat, cum sa veade la leat : 7213 [1705]: savârsinduo • în buna pomenirei • si slava veacinica. Measeta [luna] septembrie v : 20 : dni [zile]."" Între 1841-1852 biserica a fost refăcută si repictată prin strădania arhimandritului Eufrosin Poteca, prin contribuția domnitorului Barbu Știrbei și pictura zugravului Niță Stoenescu: ""Aceasta reparatie a zugravelii, dupa stilul original, s-a facut cu bunavointa Înaltimei Sale Barbu D. Stirbei, Printul stapânitor a toata Tara Româneasca, slobozind cheltuiala din Casa Centrala si prin osârdia Cuviosiei Sale, Arhim. Eufrosin Poteca, eugumenul acestei Sfinte Manastiri de la Gura Motrului, la anul 1852, zugrav Nita Stoenescu"".  Refacerea picturii a însemnat în epocă o repictare a scenelor acoperindu-le pe cele originale cu un strat protector. Refacerea din secolul XIX a dus la supraînălțarea corpului bisericii și a turlelor. Acoperișul a fost și el refăcut în secolul XIX. În anul 1998 au fost începute lucrări de consolidare-restaurare la biserică și incintă.",,Se află în restaurare,,
100278,87371,HD-II-m-A-03303,Hunedoara,Comuna Crișcior,Crișcior,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""","sec. XIV-XV, lărgită sec.XIX",,Parohia Ortodoxă Română Crișcior,Protopopiatul Brad,Episcopia Aradului,Mitropolia Banatului,,"Biserică ""Adormirea Maicii Domnului"" ortodoxă ridicată în secolul XIV-XV, pe locul uneia de lemn de secol XIII-XIV, din zidărie de piatră, lărgită ulterior, cu o deosebit de valoroasă pictură din sec.XV, reprezentând pe cneazul român Bâlea si familia sa, ctitori. De plan dreptunghiular , cu altar poligonal (în interior semicircular) , cu turn-clopotniță pe vest, cu foișor la ultimul nivel, biserica conservă pe pereții pronaosului importante fragmente de pictură murală din epoca fundației (tabloul votiv cu familia ctitorului, scene biblice, sfinți militari etc.), opera unui maestru român de școală locală și a suferit modificări de-a lungul anilor. Este construită într-un stil de sinteză, rezultând din îmbinarea unor elemente de tradiție bizantină și gotică, filtrate printr-o viziune populară. Absida a fost reconstruită și amplificată în sec.XIX. Către sfârșitul secolului al XIV-lea, școala românească de pictură din Transilvania reușește să finalizeze încă două ansambluri deosebit de valoroase. În Biserica din satul Crișcior (județul Hunedoara), lucrările de restaurare au reușit să pună în evidență mai multe scene din ciclul hristologic: Spălarea Picioarelor, Cina de Taină, Purtarea Crucii, o frumoasă reprezentare a Adormirii Maicii Domnului, Sf. Marina martelând diavolul, Sf. Gheorghe în luptă cu balaurul, de asemenea o imagine cu caracter omagial față de stăpânirea feudală: cei trei regi sfinți ai Ungariei, Ștefan, Emeric și Ladislau. Cea mai importantă compoziție din ansamblul picturilor de la Crișcior este tabloul votiv, unul dintre cele mai vechi cu identitate precisă din arta românească. Admirabilă ilustrație de epocă, această imagine atestă calitatea de ctitor a voievodului Bâlea, amintit documentar în anul 1404, și a soției sale Vișa. Sub aspect iconografic, compozițiile de la Crișcior se prevalează de modele bizantine de epocă. Desenul este energic, cu linii groase care delimitează formele, iar culoarea intervine mai mult ca un auxiliar, fără să fie lipsită, totuși, de calități, de armonie și de influență locală.",,,,
33420,131283,PH-II-m-B-16578,Prahova,Comuna Poiana Câmpina,Poiana Câmpina,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1690,,Parohia Poiana Câmpina,Protoieria Câmpina,Arhiepiscopia Bucureștilor,Mitropolia Munteniei și Dobrogei,Patriarhia Română,"Biserica mănăstirii, ctitorită de Toma Cantacuzino la 1690, a fost refăcută total în 1940 si în 1982 - 1983.",,,,
3518,89696,HD-II-m-A-03323,Hunedoara,Comuna Gurasada,Gurasada,biserică,ortodox,F,"Biserica ""Arhanghelul Mihail""",sec. XIII; adăugiri ulterioare,,Parohia Gurasada,Protopopiatul Deva,Episcopia Aradului,Mitropolia Banatului,Patriarhia Română,,,"bolți fisurate, bună",,
3747,153678,TR-II-m-A-14338,Teleorman,Comuna Plopii-Slăvitești,Dudu,biserică,ortodox,F,"Biserica ""Arhanghelul Mihail""",1648,,,,,Mitropolia Munteniei și Dobrogei,,"Biserica cu hramul Sf. Arhanghel Mihail a fost ridicat la 1648 de Dragomir Mare Vornic și jupâneasa sa Elena.Biserica azi ruină, avea plan treflat și era monumentală. Stilul era reprezentativ pentru arhitectura valahă din acele timpuri, specifice epocii lui Matei Basarab. Potrivit tabloului votiv biserica era formată din naos, pronaos și altar la care se adăuga pridvorul cu două arcade laterale.Monumentul este în curs de refacere.",,ruine,,
19095,4400,AB-II-m-A-00220,Alba,Comuna Galda de Jos,Galda de Sus,biserică,ortodox,F,"Biserica ""Arhanghelul Mihail""",sec. XVII,,"Parohia ""Arhanghelul Mihai"" Galda de Sus",,Arhiepiscopia Alba Iulia,"Mitropolia Clujului, Albei, Crișanei și Maramureșului",,,,,,
4233,122230,NT-II-a-B-10643,Neamț,Comuna Crăcăoani,Poiana Crăcăoani,biserică,ortodox,F,"Biserica ""Botezul Domnului""",1822-1830,,Parohia Mănăstirii Horaița,Protopopiatul Tg. Neamț,Arhiepiscopia Iașilor,Mitropolia Moldovei și Bucovinei,Patriarhia Română,"Biserica mănăstirii, cu hramul Botezul Domnului, a cărei construcție a început la anul 1848 și a fost finalizată 19 ani mai târziu, la 1867, a fost sfințită la 20 octombrie de mitropolitul Moldovei-Calinic Miclescu (1860-1875). Biserica, având 30 de metri lungime, 17 metri lățime și aproximativ 20 de metri înălțime, a fost construită exclusiv din piatră, numai bolțile sunt din cărămidă. Grosimea pereților variază între 1,6 și 4 metri. În evoluția arhitecturii moldovenești, biserica mănăstirii Horăița, ca stil, este unică, aici fiind prezente elemente din arhitectura romano-bizantină, precum si influente rusesti in numarul si configuratia celor 8 turle. Pictura, in stil neobizantin, pe un fond caramiziu, a fost executata de Mihai Chiuaru cu ucenicii sai intre anii 1988-1993 si sfintita la 4 iulie 1993 de catre I.P.S. Daniel, Mitropolitul Moldovei si Bucovinei.",,bună,,
