Mirela Elena Adomnicăi;1970-08-15;2;'';'Mirela Elena Adomnicăi';'1';'PSD';'{"2024": 2, "2020": 2, "2004": 2}'
Sorin-Alexandru Afloarei;;2;'';'';'2';'PNL';'{}'
Dumitrița Albu;;2;'';'';'3';'POT';'{}'
Marius-Nicolae Alecsandru;;2;'';'';'4';'USR';'{}'
Robert Alecu;;2;'';'';'5';'AUR';'{}'
Varol Amet;1972-12-09;2;'';'Varol Amet';'6';'';'{"2024": 2, "2020": 2, "2012": 2}'
Alexandru-Ioan Andrei;1985-01-02;2;'';'Alexandru-Ioan Andrei';'7';'PNL';'{"2024": 2, "2020": 2, "2016": 2}'
Cosmin Andrei;;2;'';'';'8';'SOS';'{}'
Gabriel Andronache;1974-09-22;2;'';'Gabriel Andronache';'9';'PNL';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2}'
Lucian-Nicolae Andrușcă;;2;'';'';'10';'POT';'{}'
Dan-Cătălin Artimon;;2;'';'';'11';'AUR';'{}'
Corina Atanasiu;;2;'';'';'12';'USR';'{}'
Ștefăniță-Alin Avrămescu;;2;'';'';'13';'AUR';'{}'
Romică-Andrei Baciu;;2;'';'';'14';'PNL';'{}'
Nelu-Valentin Badea;;2;'';'';'15';'AUR';'{}'
Georgel Badiu;1968-05-24;2;'';'Georgel Badiu';'16';'AUR';'{"2024": 2, "2020": 2}'
Ioan Balan;1967-01-22;2;'';'Ioan Balan';'17';'PNL';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2}'
Nicolae-Adrian Bara;;2;'';'';'18';'PSD';'{}'
Florin-Ionuț Barbu;1980-09-04;2;'';'Florin-Ionuț Barbu';'19';'PSD';'{"2024": 2, "2020": 2}'
Tiberiu-Claudiu Barstan;;2;'';'';'20';'AUR';'{}'
Ana-Marcela Baș;;2;'';'';'21';'SOS';'{}'
Ștefan-Alexandru Băișanu;1968-01-03;2;'';'Ștefan-Alexandru Băișanu';'22';'SOS';'{"2024": 2, "2016": 2, "2012": 2}'
George Becali;1958-06-25;2;'';'George Becali';'23';'AUR';'{"2024": 2, "2012": 2}'
Eugen Bejinariu;1959-01-28;2;'';'Eugen Bejinariu';'24';'PSD';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2, "2004": 2}'
Bende Sándor;1969-05-29;2;'';'Bende Sándor';'25';'UDMR';'{"2024": 2, "2020": 2, "2016": 2}'
Monica-Elena Berescu;1987-05-21;2;'';'Monica-Elena Berescu';'26';'USR';'{"2024": 2, "2020": 2}'
Daniel-Răzvan Biro;;2;'';'';'27';'AUR';'{}'
Biró Rozália-Ibolya;1965-05-13;2;'';'Biró Rozália-Ibolya';'28';'UDMR';'{"2024": 2, "2020": 2, "2016": 2, "2012": 1}'
Daniel-Codruț Blaga;1980-06-13;2;'';'Daniel-Codruț Blaga';'29';'USR';'{"2024": 2, "2020": 2}'
Lucian Nicolae Bode;1974-10-27;2;'';'Lucian Nicolae Bode';'30';'PNL';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2}'
Ionel-Ovidiu Bogdan;;2;'';'';'31';'PNL';'{}'
Lucian-Gabriel Bogdănel;;2;'';'';'32';'PSD';'{}'
Alexandru Bordian;;2;'';'';'33';'AUR';'{}'
George-Mădălin Borș;;2;'';'';'34';'PSD';'{}'
Tiberiu-Nicolae Boșutar;;2;'';'';'35';'AUR';'{}'
Mihai-Cătălin Botez;1986-03-29;2;'';'Mihai-Cătălin Botez';'36';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Ștefan Bouda;;2;'';'';'37';'';'{}'
Ramona-Ioana Bruynseels;;2;'';'';'38';'AUR';'{}'
Ariana-Oana Bucur;;2;'';'';'39';'PSD';'{}'
Simona Bucura-Oprescu;1980-04-02;2;'';'Simona Bucura-Oprescu';'40';'PSD';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2}'
Vasile Budacă;1975-01-01;2;'';'';'41';'PSD';'{"2024": 2, "2020": 2}'
Marius-Constantin Budăi;1972-05-01;2;'';'Marius-Constantin Budăi';'42';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Cristian Buican;1966-09-16;2;'';'Cristian Buican';'43';'PNL';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2}'
Iulian Bulai;1987-12-02;2;'';'Iulian Bulai';'44';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Marius-Felix Bulearcă;;2;'';'';'45';'USR';'{}'
Sebastian-Ioan Burduja;1985-06-18;2;'';'Sebastian-Ioan Burduja';'46';'PNL';'{"2024": 2, "2020": 2}'
Cristina-Irina Butură;;2;'';'';'47';'AUR';'{}'
Diana-Anda Buzoianu;1994-05-16;2;'';'Diana-Anda Buzoianu';'48';'USR';'{"2024": 2, "2020": 2}'
Răzvan-Olimpiu Cadar;;2;'';'';'49';'PNL';'{}'
Florin Caragață;;2;'';'';'50';'SOS';'{}'
Adrian Câciu;;2;'';'Adrian Câciu';'51';'PSD';'{}'
Maria Cernit;;2;'';'';'52';'POT';'{}'
Crina-Fiorela Chilat;;2;'';'';'53';'PSD';'{}'
Virgil Alin Chirilă;1983-05-28;2;'';'Virgil Alin Chirilă';'54';'PSD';'{"2024": 2, "2020": 2}'
Răzvan-Mirel Chiriță;;2;'';'';'55';'POT';'{}'
Adrian-Virgil Ciobanu;;2;'';'';'56';'PNL';'{}'
Dragoș-Fănică Ciobotaru;;2;'';'';'57';'PNL';'{}'
Doinița Ciocan;;2;'';'';'58';'PSD';'{}'
Ion-Marcel Ciolacu;1967-11-28;2;'';'Ion-Marcel Ciolacu';'59';'PSD';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2}'
Daniel-Cătălin Ciornei;;2;'';'';'60';'AUR';'{}'
Răzvan-Iulian Ciortea;;2;'';'';'61';'PSD';'{"2024": 2, "2020": 1}'
Ciprian Ciubuc;1985-12-07;2;'';'Ciprian Ciubuc';'62';'SOS';'{"2024": 2, "2020": 2}'
Liviu-Bogdan Ciucă;1968-10-13;2;'';'Liviu-Bogdan Ciucă';'63';'PSD';'{"2024": 2, "2012": 2, "2008": 2, "2004": 2}'
Ionel Ciunt;;2;'';'';'64';'PSD';'{}'
Cristian-Emanuel Cîmpan;;2;'';'';'65';'POT';'{}'
Ovidiu-Vasile Cîmpean;;2;'';'';'66';'PNL';'{}'
Andreea-Petronela Cîmpianu;;2;'';'';'67';'SOS';'{}'
Florin-Eugen Cîrligea;;2;'';'';'68';'AUR';'{}'
Ariadna-Elena Cîrligeanu;;2;'';'';'69';'AUR';'{}'
Dumitru Coarnă;1964-06-05;2;'';'Dumitru Coarnă';'70';'SOS';'{"2024": 2, "2020": 2}'
Petru-Bogdan Cojocaru;1983-08-30;2;'';'Petru-Bogdan Cojocaru';'71';'PSD';'{"2024": 2, "2016": 2}'
Ilie-Alin Coleșa;1976-06-17;2;'';'Ilie-Alin Coleșa';'72';'AUR';'{"2024": 2, "2020": 2}'
Allen Coliban;1979-06-03;2;'';'Allen Coliban';'73';'USR';'{"2024": 2, "2016": 1}'
Dragoș-Florin Coman;;2;'';'';'74';'AUR';'{}'
Andra-Claudia Constantinescu;;2;'';'';'75';'SOS';'{}'
Sergiu-Mircea Constantinescu;;2;'';'';'76';'PSD';'{}'
Codruța-Maria Corcheș;;2;'';'';'77';'POT';'{}'
Cosmin-Ioan Corendea;;2;'';'';'78';'AUR';'{}'
Ilie-Aurelian Cotinescu;;2;'';'';'79';'PNL';'{}'
Paul-Claudiu Cotîrleț;;2;'';'';'80';'PSD';'{}'
Adrian-Felician Cozma;1986-08-30;2;'';'Adrian-Felician Cozma';'81';'PNL';'{"2024": 2, "2020": 2}'
Brian Cristian;1990-06-14;2;'';'Brian Cristian';'82';'USR';'{"2024": 2, "2020": 2}'
Ognean Crîstici;1965-09-01;2;'';'Ognean Crîstici';'83';'';'{"2024": 2, "2020": 2}'
Marian Crușoveanu;1981-12-19;2;'';'Marian Crușoveanu';'84';'PNL';'{"2024": 2, "2020": 2}'
Csép Éva-Andrea;1976-10-27;2;'';'Csép Éva-Andrea';'85';'UDMR';'{"2024": 2, "2020": 2, "2016": 2}'
Andrei Csillag;;2;'';'Andrei Csillag';'86';'POT';'{}'
Csoma Botond;1975-02-18;2;'';'Csoma Botond';'87';'UDMR';'{"2024": 2, "2020": 2, "2016": 2}'
Mihai Culeafă;1971-05-17;2;'';'Mihai Culeafă';'88';'PNL';'{"2024": 2, "2016": 2}'
Cristina-Emanuela Dascălu;;2;'';'';'89';'AUR';'{}'
Alexandru-Paul Dimitriu;;2;'';'';'90';'USR';'{}'
Elena Doboș;;2;'';'';'91';'AUR';'{}'
Ciprian Minodor Dobre;1971-04-26;2;'';'';'92';'PNL';'{"2024": 2, "2008": 2}'
Andrei Dolineaschi;1975-06-21;2;'';'Andrei Dolineaschi';'93';'PSD';'{"2024": 2, "2012": 2, "2008": 2}'
Cezar-Mihail Drăgoescu;;2;'';'';'94';'USR';'{}'
Vlad-Florentin Drinceanu;;2;'';'';'95';'PSD';'{}'
Cătălin Drulă;1981-05-02;2;'';'Cătălin Drulă';'96';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Costel Neculai Dunava;1978-03-07;2;'';'Costel Neculai Dunava';'97';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Adrian Echert;;2;'';'';'98';'USR';'{}'
Diana Enache;;2;'';'Diana Enache';'99';'AUR';'{}'
Mihai-Adrian Enache;;2;'';'';'100';'AUR';'{}'
Raisa Enachi;1982-03-10;2;'';'Raisa Enachi';'101';'SOS';'{"2024": 2, "2020": 2}'
Gabriela-Corina Ene;;2;'';'';'102';'PSD';'{}'
Mădălin-Laurențiu Făget;;2;'';'';'103';'SOS';'{}'
Mircea Fechet;1980-07-01;2;'';'Mircea Fechet';'104';'PNL';'{"2024": 2, "2020": 2}'
Silviu Feodor;1973-08-13;2;'';'Silviu Feodor';'105';'';'{"2024": 2, "2020": 2}'
