"nume","inceput","sfarsit","partid"
"Adrian Mocanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian Solomon","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adriana-Doina Pană","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian Constantin Simionescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian-Miroslav Merka","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Alexandru Stănescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Alina-Ştefania Gorghiu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ana Birchall","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"András-Levente Máté","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Andrei Dolineaschi","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Andrei-Valentin Sava","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Angel Tîlvăr","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Anghel Stanciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Anton Doboş","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Árpád-Francisc Márton","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Atilla-Béla-László Kelemen","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Attila Korodi","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Attila-Zoltán Cseke","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Aurel Vainer","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Aurel Vlădoiu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Aurelia Cristea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Aurelian Ionescu","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Bogdan Nicolae Niculescu Duvăz","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Călin-Vasile-Andrei Matei","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Camelia Khraibani","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Carmen Ileana Moldovan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cătălin Tiuch","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cătălin-Daniel Fenechiu","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Cătălin-Marian Rădulescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Claudiu-Andrei Tănăsescu","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Constantin Adăscăliţei","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
