"nume","inceput","sfarsit","partid"
"Adrian Gurzău","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Adrian Mocanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian Solomon","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adriana Diana Tuşa","2012-12-19","2013-06-04","Grupul parlamentar al Partidului Naţional Liberal"
"Adriana-Doina Pană","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian-Alin Petrache","2012-12-19","2014-06-11","Grupul parlamentar al Partidului Social Democrat"
"Adrian Constantin Simionescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian George Scutaru","2012-12-19","2014-12-19","Grupul parlamentar al Partidului Naţional Liberal"
"Adrian-Miroslav Merka","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Adrian-Nicolae Diaconu","2012-12-19","2014-05-27","Grupul parlamentar Democrat şi Popular"
"Alexandri Nicolae","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Alexandru Nazare","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Alexandru Stănescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Alina-Ştefania Gorghiu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Alin Augustin Florin Popoviciu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Ana Birchall","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"András-Levente Máté","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Andrei Dolineaschi","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Andrei Dominic Gerea","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Andrei-Răzvan Condurăţeanu","2012-12-19","2013-12-17","Grupul parlamentar Democrat şi Popular"
"Andrei-Valentin Sava","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Angel Tîlvăr","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Anghel Stanciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Anton Doboş","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
