"nume","data","partid_vechi","partid_nou"
"Luminița-Pachel Adam","2014-06-18","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Roberta Alma Anastase","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Gabriel Andronache","2013-05-21","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Marin Anton","2014-03-03","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Marin Anton","2015-03-09","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Sanda-Maria Ardeleanu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Marian Avram","2015-06-24","Grupul parlamentar al Partidului Social Democrat","Grupul parlamentar al Partidului Național Liberal"
"Ioan Balan","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Viorel-Ionel Blăjuț","2013-05-21","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Viorel-Ionel Blăjuț","2014-12-03","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Valentin Blănariu","2014-12-09","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Valentin Blănariu","2015-06-29","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Lucian Nicolae Bode","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Camelia-Margareta Bogdănici","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Camelia-Margareta Bogdănici","2015-02-09","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Claudia Boghicevici","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Dan Bordeianu","2014-11-18","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar al Partidului Social Democrat"
"Octavian Bot","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Constantin-Alin Bucur","2013-04-15","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Constantin-Alin Bucur","2013-10-07","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Mario-Ernest Caloianu","2014-06-11","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Florică Ică Calotă","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Costică Canacheu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Steluța-Gustica Cătăniciu","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Remus-Florinel Cernea","2013-05-21","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Eugen Chebac","2013-09-30","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Dumitru Chiriță","2015-02-02","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Daniel Chițoiu","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Daniel Chițoiu","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Cezar Cioată","2013-02-04","Grupul parlamentar Democrat şi Popular","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Cezar Cioată","2013-02-11","Grupul parlamentar Liberal Conservator (PC-PLR)","Grupul parlamentar Democrat şi Popular"
