Adrian Anghel;1958-08-10;1;"43 Diaspora, colegiul uninominal nr.2";"";"1"
Ionel Agrigoroaiei;1968-04-14;1;"24 Iași, colegiul uninominal nr.1";"";"2"
Cristiana-Irina Anghel;1959-12-18;1;"17 Dolj, colegiul uninominal nr.1";"Cristiana-Irina Anghel";"4"
Ben-Oni Ardelean;1975-09-01;1;"37 Timiș, colegiul uninominal nr.1";"";"7"
Leonardo Badea;1975-02-23;1;"16 Dâmbovița, colegiul uninominal nr.1";"";"10"
Daniel-Constantin Barbu;1957-05-21;1;"42 București, colegiul uninominal nr.5";"";"13"
Tudor Barbu;1959-02-14;1;"20 Gorj, colegiul uninominal nr.1";"Tudor Barbu";"14"
Marius Bălu;1968-11-04;1;"27 Mehedinți, colegiul uninominal nr.1";"Marius Bălu";"16"
Neculai Bereanu;1963-05-03;1;"35 Suceava, colegiul uninominal nr.1";"";"18"
Biró Rozalia Ibolya;1965-05-13;1;"5 Bihor, colegiul uninominal nr.1";"";"19"
Cătălin Boboc;1976-05-18;1;"9 Brăila, colegiul uninominal nr.2";"";"22"
Cristian Petru Bodea;1974-01-08;1;"5 Bihor, colegiul uninominal nr.2";"";"23"
Florian Dorel Bodog;1971-09-06;1;"5 Bihor, colegiul uninominal nr.4";"";"24"
Andrei-Liviu Volosevici;1976-03-26;1;"31 Prahova, colegiul uninominal nr.5";"";"26"
Dumitru Marcel Bujor;1954-10-21;1;"4 Bacău, colegiul uninominal nr.4";"";"28"
Octavian-Liviu Bumbu;1955-02-12;1;"29 Neamț, colegiul uninominal nr.3";"Octavian-Liviu Bumbu";"29"
Marin Burlea;1949-01-08;1;"24 Iași, colegiul uninominal nr.5";"";"30"
Florinel Butnaru;1959-04-07;1;"40 Vâlcea, colegiul uninominal nr.1";"";"31"
Ionel Daniel Butunoi;1975-01-02;1;"18 Galați, colegiul uninominal nr.1";"";"32"
Leonard Cadăr;1965-07-01;1;"29 Neamț, colegiul uninominal nr.2";"";"33"
Viorel Chiriac;1962-10-09;1;"8 Brașov, colegiul uninominal nr.2";"";"37"
Gigi Christian Chiru;1966-02-01;1;"14 Constanța, colegiul uninominal nr.4";"Gigi Christian Chiru";"38"
Victor Ciorbea;1954-10-26;1;"42 București, colegiul uninominal nr.7";"Victor Ciorbea";"40"
Marius Coste;1964-04-30;1;"8 Brașov, colegiul uninominal nr.1";"";"45"
Marin-Adrănel Cotescu;1953-07-09;1;"40 Vâlcea, colegiul uninominal nr.3";"";"46"
Iulian Cristache;1954-09-10;1;"3 Argeș, colegiul uninominal nr.2";"";"48"
Ioan Cristina;1975-09-09;1;"2 Arad, colegiul uninominal nr.2";"";"49"
Ioan Deneș;1968-04-13;1;"";"";"51"
