Tip artera,Denumire artera,Numar,Codpostal,Sector,Oficiu distribuire
Strada,"Mincu Ion, arh.",nr. 21-T,011357,1,București 2
Strada,"Mincu Ion, arh.",nr. 14-T,011359,1,București 2
Strada,Porumbaru Emanoil,nr. 1-25,011421,1,București 2
Strada,Porumbaru Emanoil,nr. 27-45,011422,1,București 2
Strada,Porumbaru Emanoil,nr. 47-69,011423,1,București 2
Strada,Porumbaru Emanoil,nr. 71-T,011424,1,București 2
Strada,Porumbaru Emanoil,nr. 2-24,011425,1,București 2
Strada,Porumbaru Emanoil,nr. 26-50,011426,1,București 2
Strada,Porumbaru Emanoil,nr. 52-72,011427,1,București 2
Strada,Porumbaru Emanoil,nr. 74-T,011428,1,București 2
Strada,Popa Savu,nr. 1-33,011431,1,București 2
Strada,Popa Savu,nr. 35-T,011432,1,București 2
Strada,Popa Savu,nr. 2-40,011433,1,București 2
Strada,Popa Savu,nr. 42-T,011434,1,București 2
Strada,Drăghiceanu Virgil,nr. 1-T,011435,1,București 2
Strada,Drăghiceanu Virgil,nr. 2-T,011436,1,București 2
Strada,"Cantacuzino Ioan, prof. dr.",nr. 1-T,011437,1,București 2
Strada,"Cantacuzino Ioan, prof. dr.",nr. 2-T,011438,1,București 2
Strada,Uruguay,nr. 17-T,011444,1,București 2
Strada,Uruguay,nr. 16-T,011446,1,București 2
Șoseaua,"Kiseleff Pavel Dimitrievici, g-ral.",nr. 9-29,011342,1,București 2
Șoseaua,"Kiseleff Pavel Dimitrievici, g-ral.",nr. 31-55,011343,1,București 2
Șoseaua,"Kiseleff Pavel Dimitrievici, g-ral.",nr. 6-24,011346,1,București 2
Strada,Docenților,nr. 1-5,011401,1,București 2
Strada,Docenților,nr. 2-14,011403,1,București 2
Strada,Tuberozelor,,011411,1,București 2
Strada,Brătianu Gheorghe,nr. 1-T,011412,1,București 2
Strada,Brătianu Gheorghe,nr. 2-32,011413,1,București 2
Strada,Brătianu Gheorghe,nr. 34-T,011414,1,București 2
Strada,"Burcuș Ștefan, arh.",,011415,1,București 2
Intrarea,"Burcuș Ștefan, arh.",,011416,1,București 2
Strada,Alexandrina,nr. 1-T,011441,1,București 2
Strada,Alexandrina,nr. 2-T,011442,1,București 2
Strada,Uruguay,nr. 1-15,011443,1,București 2
Strada,Uruguay,nr. 2-14,011445,1,București 2
Strada,"Șonțu Gheorghe, mr.",nr. 1-T,011447,1,București 2
Strada,"Șonțu Gheorghe, mr.",nr. 2-T,011448,1,București 2
Bulevardul,Prezan Constantin,nr. 1-T,011451,1,București 2
Bulevardul,Prezan Constantin,nr. 2-T,011452,1,București 2
Piața,Arcul de Triumf,,011453,1,București 2
Bulevardul,Mihalache Ion,nr. 108-126,011203,1,București 2
Piața,"Mândrescu Simion, prof. univ.",,011399,1,București 2
Bulevardul,"Averescu Alexandru, mareșal",nr. 1-T,011454,1,București 2
Bulevardul,"Averescu Alexandru, mareșal",nr. 2-32,011455,1,București 2
Bulevardul,"Averescu Alexandru, mareșal",nr. 34-42,011456,1,București 2
Bulevardul,"Averescu Alexandru, mareșal",nr. 44-T,011457,1,București 2
Intrarea,Miciurin V.I.,,011458,1,București 2
Strada,Mănăstirea Cașin,,011459,1,București 2
Bulevardul,Mărăști,nr. 19-29,011462,1,București 2
Bulevardul,Mărăști,nr. 2-16,011467,1,București 2
Bulevardul,Mihalache Ion,nr. 128-138,011204,1,București 2
Bulevardul,Mărăști,nr. 1-17,011461,1,București 2
Strada,Constantinescu Alexandru,nr. 1-35,011471,1,București 2
Strada,Constantinescu Alexandru,nr. 37-T,011472,1,București 2
Strada,Constantinescu Alexandru,nr. 2-28,011473,1,București 2
Strada,Constantinescu Alexandru,nr. 30-T,011474,1,București 2
Strada,"Sănătescu Ștefan, mr. av.",nr. 1-29,011475,1,București 2
Strada,"Sănătescu Ștefan, mr. av.",nr. 31-T,011476,1,București 2
Strada,"Sănătescu Ștefan, mr. av.",nr. 2-32,011477,1,București 2
Strada,"Sănătescu Ștefan, mr. av.",nr. 34-T,011478,1,București 2
Aleea,"Stâlpeanu M. Gheorghe, lt. av.",nr. 1-T,011481,1,București 2
Aleea,"Stâlpeanu M. Gheorghe, lt. av.",nr. 2-T,011482,1,București 2
Strada,Delavrancea Barbu,nr. 15A-31,011352,1,București 2
Strada,Delavrancea Barbu,nr. 33-T,011353,1,București 2
Strada,Delavrancea Barbu,nr. 4-T,011355,1,București 2
Strada,Clucerului,nr. 1-15,011361,1,București 2
Strada,Clucerului,nr. 17-27,011362,1,București 2
Strada,Clucerului,nr. 2-24,011365,1,București 2
Strada,Clucerului,nr. 26-52,011366,1,București 2
Strada,"Ionescu Nicolae, prof.",,011371,1,București 2
Intrarea,Zamfirescu-Leonida Eliza,,011372,1,București 2
Strada,Ady Endre,nr. 1-T,011373,1,București 2
Strada,Ady Endre,nr. 2-T,011374,1,București 2
Strada,Postelnicului,,011375,1,București 2
Intrarea,Călugăreanu Anda,,011381,1,București 2
Strada,Docenților,nr. 5A-T,011402,1,București 2
Strada,Docenților,nr. 16-T,011404,1,București 2
Strada,"Petöfi Șándor, poet",nr. 1-T,011405,1,București 2
Strada,"Petöfi Șándor, poet",nr. 2-T,011406,1,București 2
Strada,Gandhi Mahatma,,011407,1,București 2
Strada,"Dorobanțu Vasile, serg.",,011408,1,București 2
Bulevardul,Mihalache Ion,nr. 100-104,011201,1,București 2
Bulevardul,Mihalache Ion,nr. 106,011202,1,București 2
Strada,Clucerului,nr. 29-43,011363,1,București 2
Strada,Clucerului,nr. 45-T,011364,1,București 2
Strada,Clucerului,nr. 54-64,011367,1,București 2
Strada,Clucerului,nr. 66-T,011368,1,București 2
Intrarea,1 Mai,,011369,1,București 2
Strada,Pivnicerului,,011382,1,București 2
Strada,Paharnicului,nr. 1-T,011383,1,București 2
Strada,Paharnicului,nr. 2-T,011384,1,București 2
Intrarea,Șetrarului,,011385,1,București 2
Strada,Boiangiu Radu,nr. 1-T,011386,1,București 2
Strada,Boiangiu Radu,nr. 2-8,011387,1,București 2
Strada,Boiangiu Radu,nr. 10-16,011388,1,București 2
Strada,Boiangiu Radu,nr. 18-T,011389,1,București 2
Strada,Racotă Nicolae,nr. 1-T,011391,1,București 2
Strada,Racotă Nicolae,nr. 2-8,011392,1,București 2
Strada,Racotă Nicolae,nr. 10-T,011393,1,București 2
Strada,Stolnicului,,011394,1,București 2
Strada,"Mirea George Demetrescu, pictor",nr. 1-T,011395,1,București 2
Strada,"Mirea George Demetrescu, pictor",nr. 2-T,011396,1,București 2
Strada,Medelnicerului,,011397,1,București 2
Intrarea,Stolnicului,,011398,1,București 2
Șoseaua,Titulescu Nicolae,nr. 119-121,011136,1,București 2
Șoseaua,Titulescu Nicolae,nr. 76-90,011145,1,București 2
Șoseaua,Titulescu Nicolae,nr. 92-T,011146,1,București 2
Strada,Valea Merilor,nr. 1-T,011271,1,București 2
Strada,Valea Merilor,nr. 2-T,011272,1,București 2
Strada,Comana,nr. 1-T,011273,1,București 2
Strada,Comana,nr. 2-T,011274,1,București 2
Strada,Lovinescu Eugen,nr. 1-T,011275,1,București 2
Strada,Lovinescu Eugen,nr. 2-T,011276,1,București 2
Strada,Ialomicioarei,nr. 1-T,011277,1,București 2
Strada,Ialomicioarei,nr. 2-T,011278,1,București 2
Strada,Bahluiului,nr. 1-T,011281,1,București 2
Strada,Bahluiului,nr. 2-T,011282,1,București 2
Strada,"Zaharia, slt.",nr. 1-T,011283,1,București 2
Strada,"Zaharia, slt.",nr. 2-T,011284,1,București 2
Calea,Griviței,nr. 217-285,010713,1,București 2
Calea,Griviței,nr. 160-166,010746,1,București 2
Calea,Griviței,nr. 168-172,010747,1,București 2
Calea,Griviței,nr. 174-176,010748,1,București 2
Șoseaua,Titulescu Nicolae,nr. 123-163,011137,1,București 2
Șoseaua,Titulescu Nicolae,nr. 165-T,011138,1,București 2
Strada,Marinescu Costache,nr. 1-T,011285,1,București 2
Strada,Marinescu Costache,nr. 2-T,011286,1,București 2
Strada,Cipariu Timotei,,011287,1,București 2
Strada,"Cocărăscu Octav, cpt.",nr. 1-13,011291,1,București 2
