SIRUTA;DENLOC;CODP;JUD;SIRSUP;TIP;NIV;MED;REGIUNE;FSJ;FS2;FS3;FSL;rang;fictiv
10;JUDEȚUL ALBA;0;1;1;40;1;0;7;1;;;100000000000;;
1017;MUNICIPIUL ALBA IULIA;0;1;10;1;2;1;7;1;1;;111674000000;II;
1026;ALBA IULIA;0;1;1017;9;3;1;7;1;111674;1000084;111674100085;II;
1035;BĂRĂBANȚ;510001;1;1017;10;3;1;7;1;111674;2000732;111674500731;V;
1044;MICEȘTI;510002;1;1017;10;3;1;7;1;111674;2007411;111674507421;V;
1053;OARDA;510003;1;1017;10;3;1;7;1;111674;2008111;111674508122;V;
1062;PÂCLIȘA;510004;1;1017;10;3;1;7;1;111674;2008620;111674508632;V;
1213;MUNICIPIUL AIUD;0;1;10;4;2;1;7;1;1;;121673000000;II;
1222;AIUD;515200;1;1213;9;3;1;7;1;121673;1000079;121673100080;II;
1231;AIUDUL DE SUS;515201;1;1213;10;3;1;7;1;121673;2000080;121673500081;V;
1277;CIUMBRUD;515202;1;1213;11;3;1;7;1;121673;3002907;121673502909;V;
1240;GÂMBAȘ;515203;1;1213;10;3;1;7;1;121673;2005072;121673505078;V;
1286;GÂRBOVA DE JOS;515204;1;1213;11;3;1;7;1;121673;3005083;121673505089;V;
1295;GÂRBOVA DE SUS;515205;1;1213;11;3;1;7;1;121673;3005084;121673505090;V;
1302;GÂRBOVIȚA;515206;1;1213;11;3;1;7;1;121673;3005090;121673505096;V;
1259;MĂGINA;515207;1;1213;10;3;1;7;1;121673;2007086;121673507095;V;
1268;PĂGIDA;515208;1;1213;10;3;1;7;1;121673;2008525;121673508537;V;
1311;SÂNCRAI;515209;1;1213;11;3;1;7;1;121673;3010574;121673510588;V;
1320;ȚIFRA;515210;1;1213;11;3;1;7;1;121673;3012378;121673512395;V;
1348;MUNICIPIUL BLAJ;0;1;10;4;2;1;7;1;1;;121683000000;II;
1357;BLAJ;515400;1;1348;9;3;1;7;1;121683;1001132;121683101132;II;
1366;DELENI-OBÂRȘIE;515401;1;1348;10;3;1;7;1;121683;2004011;121683504016;V;
1375;FLITEȘTI;515402;1;1348;10;3;1;7;1;121683;2004777;121683504782;V;
1384;IZVOARELE;515403;1;1348;10;3;1;7;1;121683;2006269;121683506272;V;
1428;MĂNĂRADE;515404;1;1348;11;3;1;7;1;121683;3007159;121683507168;V;
1393;PETRISAT;515405;1;1348;10;3;1;7;1;121683;2008796;121683508808;V;
1437;SPĂTAC;515406;1;1348;11;3;1;7;1;121683;3011132;121683511149;V;
1400;TIUR;515407;1;1348;10;3;1;7;1;121683;2012073;121683512090;V;
1419;VEZA;515408;1;1348;10;3;1;7;1;121683;2013318;121683513335;V;
1874;MUNICIPIUL SEBEȘ;0;1;10;4;2;1;7;1;1;;121746000000;II;
1883;SEBEȘ;515800;1;1874;9;3;1;7;1;121746;1010791;121746110805;II;
1892;LANCRĂM;515801;1;1874;10;3;1;7;1;121746;2006446;121746506454;V;
1909;PETREȘTI;515850;1;1874;10;3;1;7;1;121746;2008771;121746508789;V;
1918;RĂHĂU;515802;1;1874;11;3;1;7;1;121746;3009789;121746509802;V;
1151;ORAȘ ABRUD;0;1;10;2;2;1;7;1;1;;131871000000;III;
1160;ABRUD;515100;1;1151;17;3;1;7;1;131871;1000009;131871200010;III;
