Lat,Lon,Cod
44.44613,26.108908,B-II-m-B-18550
44.484291,26.075303,B-II-m-A-19207
44.460065,26.091329,B-II-m-B-1927
44.484256,26.074651,B-II-m-A-19206
44.450912,26.094471,B-II-m-B-18332
44.462162,26.099546,B-II-m-B-18411
44.448679,26.0883,B-II-m-A-19869
44.433702,26.095291,B-II-m-B-18607
44.453113,26.084638,B-II-m-A-18983
44.447315,26.092963,B-II-m-B-18442
44.435791,26.083925,B-II-m-B-19375
44.417031,26.096526,B-II-m-B-19461
44.397172,26.117717,B-II-m-B-19174
44.444643,26.091097,B-II-m-B-19869
44.448646,26.092815,B-II-m-B-271
44.434816,26.102227,B-II-m-A-18221
44.440261,26.120779,B-II-m-B-18722
45.311836,21.877426,CS-II-a-A-10905
44.439822,26.095978,B-II-m-A-19856
44.454781,26.085018,B-II-m-B-18984
44.431407,26.097453,B-II-m-A-19843
44.454533,26.083949,B-II-m-A-18985
44.429922,26.101206,B-II-a-A-18779
44.440246,26.09818,B-II-m-A-19621
44.470569,26.077314,B-II-a-A-18994
47.462586,26.296684,SV-II-m-B-05536
47.461148,26.29717,SV-II-m-B-05536
47.582885,22.618072,SM-II-m-B-05255
45.169865,24.007096,VL-II-a-A-09898
45.118693,24.003216,VL-I-s-B-09551
47.36473,24.39075,BV-IV-M-A-01743
47.192235,24.011194,BN-IV-m-B-01750
44.729032,26.084255,IF-II-a-B-15271
46.35813,22.858643,AB-II-a-A-00238
46.310163,23.717435,AB-II-m-A-00172.01
46.666942,22.347759,BH-II-m-B-01113
47.136317,24.503313,BN-II-m-B-01447
47.283896,24.410043,BN-II-m-A-01680
45.998,26.639866,VN-IV-m-A-06619
45.69859,27.177023,VN-II-m-B-06455
45.72453,27.231407,VN-II-s-B06420
46.303849,23.114508,AB-I-M-a-0006502
46.068534,23.569245,AB-II-m-a-00128.02
46.301229,23.521634,AB-II-a-A-00386
45.957894,23.569639,AB-II-m-A-00354
46.092263,21.695,AR-II-m-B-00621
44.802448,25.197311,AG-IV-m-B-13936
44.855465,24.870948,AG-II-m-A-13401.01
44.858312,24.869644,AG-II-m-A-13424.01
45.266167,25.040762,AG-II-m-A-13578
45.141298,24.675567,AG-II-m-B-13656
45.272919,25.045329,AG-II-m-B-13555
46.569844,26.908743,BC-IV-m-A-00930
45.135295,25.726747,PH-II-m-A-16395
45.796975,24.14959,SB-II-m-A-12134
45.975528,24.625083,SB-II-m-B-12195
45.103034,24.360953,VL-II-m-B-09626
45.142033,24.675531,AG-II-a-A-13647
45.303351,25.111089,AG-IV-m-B-13976
44.981987,25.787887,PH-II-M-A-16489
46.420321,26.446649,BC-II-a-A-00816
46.718935,26.697973,BC-II-a-B-00801
46.572893,26.91609,BC-IV-m-B-00931
45.272038,27.974219,BR-II-a-A-02131
45.149565,26.805154,BZ-II-m-B-02317
