Cod,Lat,Lon
TM-II-m-B-06239,45.903881,21.089377
TM-II-m-B-06243,45.791508,20.717559
TM-II-a-B-06248,45.968431,20.77213
HR-II-m-A-12867,46.235018,25.391593
HR-II-m-B-12877,46.473121,25.825568
HR-II-m-B-12937,46.450676,25.758926
HR-II-m-A-12968,46.253972,25.886417
HR-II-a-A-12973,46.279936,25.866788
HR-II-m-B-12986,46.55761,25.78107
TM-II-m-A-06276,45.776948,21.364271
HD-II-a-B-03324,45.956259,22.589155
HD-II-m-A-03353,45.934214,22.651404
HD-II-a-A-03366,45.924965,22.856363
HD-II-a-A-03369,45.591098,22.933722
HD-II-a-A-03402,45.573302,22.886183
HD-II-m-B-03403,45.546319,22.820918
HD-II-a-B-03422,45.867489,23.070253
HD-II-a-A-03428,45.495639,22.853512
HD-II-a-B-03439,45.56157,22.9275
HD-II-a-A-03446,45.588959,22.966424
HD-II-a-B-03448,45.857156,23.01068
HD-II-a-B-03476,46.007842,22.442181
HR-II-m-B-12752,46.288181,25.08714
HR-II-m-A-12819,46.269836,25.012296
HR-II-m-B-12802,46.291338,25.036514
HR-II-a-B-12807,46.288463,25.025819
HR-II-a-A-12854,46.749017,25.53052
TM-II-m-B-06278,45.493382,21.012079
BH-II-m-B-01098,46.741717,21.719541
BH-II-m-B-01101,47.300639,22.533924
BH-II-m-B-01135,46.730518,21.576182
BH-II-m-B-01142,47.301344,21.996549
BH-II-m-B-01151,47.016184,22.518292
BH-II-m-B-01153,46.705881,21.685701
BH-II-m-B-01167,47.062843,22.346243
BH-II-m-B-01195,47.352497,22.10212
BH-II-m-B-01222,47.045541,22.323355
BH-II-m-B-01216,47.073503,22.191873
HD-II-m-B-03249,45.823018,22.954146
HD-II-m-A-03257,47.144113,23.648838
HD-II-a-A-03270,45.915101,22.771562
TM-II-m-A-06287,46.071124,20.626122
AR-II-a-B-00602,46.12389,21.379764
AR-II-a-A-00626,46.384641,21.310062
AR-II-a-B-00630,46.396451,21.813308
AR-II-a-A-00594,45.973777,22.224673
AR-II-m-A-00639,46.32412,21.687493
BH-II-a-B-01095,47.144635,22.380909
AR-II-a-A-00642,46.043897,22.3914
AR-II-a-B-00637,46.109258,21.814335
TM-II-m-B-06261,45.997454,21.454688
AR-II-m-A-00651,46.266728,21.636992
AR-II-a-B-00653,46.277697,21.288863
BH-II-m-B-01097,47.060073,22.393676
TM-II-m-B-06197,45.714652,20.899986
BV-II-a-A-11615,45.671771,25.804862
BV-II-a-A-11616,45.674894,25.80403
BV-II-m-A-11617,45.67585,25.804631
BV-II-m-A-11617,45.677124,25.80528
BV-II-m-B-11718,45.983112,25.307001
BV-II-m-B-11717,45.985391,25.305676
BV-II-m-B-11716,45.98581,25.305874
BV-II-a-A-11754,46.023563,25.408498
BV-II-a-A-11810,45.808865,24.815237
BV-II-m-A-11815,45.765143,24.817919
AR-II-a-B-00593,46.006486,22.105583
VN-II-m-B-06567,45.884108,27.039928
NT-II-m-B-10704,46.982163,26.516044
NT-II-m-B-10599,46.960844,26.706668
CS-II-m-B-11223,45.491969,21.720099
CS-II-m-B-11228,45.487516,22.158598
BN-II-a-A-01614,47.085451,24.35409
BN-II-m-B-01615,47.180131,24.175176
BN-II-m-B-01616,47.180598,24.173953
SB-II-m-A-12462,46.086641,24.107906
BN-II-a-A-01617,47.181035,24.178201
BN-II-m-B-01628,46.984798,24.181228
BN-II-m-A-01631,46.858599,24.437756
BN-II-m-B-01641,47.19393,24.096085
BN-II-m-B-01643,47.150472,24.290738
BN-II-m-B-01646,47.244917,24.12802
BN-II-m-A-01662,47.295858,22.836343
BN-II-m-B-01676,46.98467,24.265279
TM-II-a-A-06177,45.387631,21.138327
TM-II-m-A-06192,45.913205,21.149904
TM-II-m-B-06204,45.281817,21.46399
TM-II-m-A-06226,45.499718,20.87052
TM-II-m-B-06208,45.891007,20.628805
TM-II-m-B-20180,45.467836,20.989527
BN-II-a-A-01685,46.979213,24.588763
CJ-II-m-B-07678,46.857876,23.025932
BN-II-a-B-01710,46.998197,24.603125
AB-II-a-A-00201,46.255773,24.173499
AB-II-a-B-00204,46.378912,23.807885
AB-II-m-B-00212,46.17437,23.564707
AB-II-a-B-00256,46.1744,23.756903
BN-II-a-A-01724,46.769641,24.364279
AB-II-m-B-00315,45.90733,23.399814
