Cod,Lon,Lat
SV-II-m-B-05494,26.5252,47.58758
B-I-s-A-17884,26.01085,44.47499
MS-II-m-A-15647,24.31444,46.34056
B-II-m-A-17931,26.0992,44.43682
B-II-m-A-18107,26.10074,44.43916
B-II-m-A-18076,26.11025,44.42941
B-II-m-A-18118,26.1041,44.431
B-II-m-A-18095,26.1046,44.439
B-II-m-A-18132,26.0913,44.4421
B-II-m-B-18148,26.0938,44.4444
B-II-m-B-18148,26.09391,44.44439
B-II-m-A-18584,26.0988,44.4345
B-II-m-A-18157.01,26.1726,44.4445
B-II-m-B-18158.01,26.10611,44.43277
B-II-m-A-18236,26.08903,44.44416
B-II-m-A-18571.01,26.0977,44.4245
B-II-m-A-18571.01,26.09799,44.42455
B-II-m-A-18571.01,26.0973,44.4242
B-II-m-B-18174,26.10129,44.43261
B-II-m-A-18220.01,26.10312,44.43436
B-II-m-A-18225,26.1047,44.43254
B-II-m-A-18234,26.0778,44.4873
B-II-m-B-18264,26.0826,44.4493
B-II-m-A-18368,26.1158,44.43348
B-II-m-B-18320,26.11083,44.43742
B-II-m-A-18517,26.09225,44.41456
B-II-m-B-18576,26.0881,44.4599
B-II-m-A-18582.02,26.1282,44.4667
B-II-m-B-18594.02,26.0989,44.4345
B-II-m-B-18735,26.1046,44.4701
B-II-m-A-18759,26.12294,44.41445
B-II-m-A-18781.02,26.10208,44.43008
B-II-m-A-18781.01,26.10208,44.43008
B-II-m-B-18925,26.10651,44.44291
B-II-m-B-18933,26.1106,44.4476
B-II-m-A-19472,26.11773,44.43829
B-II-m-B-19014,26.10463,44.42152
B-II-m-A-19179.01,26.11295,44.43503
B-II-a-A-19152,26.062,44.434
B-II-a-A-19152,26.0616,44.4337
B-II-m-B-19231,26.0835,44.45498
B-II-m-A-19252,26.10854,44.4354
B-II-m-A-19241,26.10535,44.43045
B-II-m-A-19304,26.11602,44.4386
B-II-m-A-19306,26.09893,44.42149
B-II-m-B-19317,26.10715,44.43892
B-II-m-A-18582.02,26.1283,44.4667
B-II-a-B-19387,26.11314,44.41227
B-II-m-B-19395,26.0846,44.4363
B-II-m-B-19406,26.0728,44.4409
B-II-m-A-19419,26.1338,44.47
B-II-m-A-19462,26.09846,44.43075
B-II-m-A-19498.01,26.10773,44.42395
B-II-m-A-19500,26.10901,44.42354
B-II-m-B-19562,26.11049,44.43227
B-II-m-A-19650,25.99807,44.47923
B-II-m-B-19645,26.09294,44.43123
B-II-m-A-19644.01,26.09318,44.43139
B-II-m-A-19654,26.1055,44.43511
B-II-m-A-19750,26.10346,44.42388
B-II-m-A-19670,26.10174,44.42453
B-II-m-A-19672,26.1066,44.4309
B-II-m-B-19674,26.07714,44.4337
B-II-m-A-19675,26.07393,44.43297
B-II-m-A-19681.01,26.09779,44.42612
B-II-m-A-19682,26.10024,44.42826
B-II-m-A-19691,26.09098,44.43387
B-II-m-B-19694.01,26.11476,44.44277
B-II-m-B-19695,26.0977,44.426
B-II-m-B-19755,26.10629,44.41457
B-II-m-A-19464.01,26.09888,44.43178
B-II-m-A-19759,26.10969,44.43391
B-II-m-B-19764,26.08133,44.43976
B-II-m-B-18511,26.1607,44.4099
B-II-m-B-19779,26.1278,44.4204
B-II-m-A-19816,26.12058,44.43908
B-II-m-B-19849,26.11404,44.41879
B-II-m-A-19833,26.1026,44.4429
B-II-m-B-19844,26.09767,44.43229
B-II-m-A-19861,26.09489,44.44205
B-II-m-A-18814,26.1018,44.4338
B-II-m-B-19880,26.0953,44.4486
B-II-m-B-19882,26.13313,44.41358
